,Publication Number,Title,Country Code,Filing Date,International Classification,Application Number,Applicant,Inventor,Description
80,211813821,Pulp molding production wastewater treatment equipment,CN,30.10.2020,C02F 9/04,201922404184.9,"WING FAT (JINAGSU) MOLDED FIBER PACKAGING TECHNOLOGY CO., LTD.",MING WENXI,"The utility model relates to the technical field of pulp molding. The utility model further discloses paper pulp molding production wastewater treatment equipment. The problems that in the productionprocess of common pulp molding, more foreign matter is generated in waste water, so that more chemicals are used, the foreign matter generated in the process cannot be automatically treated, and timeand labor are wasted are solved, the device comprises a sewage storage pool, and a first water pump is installed at the top end of the sewage storage pool; according to the utility model, the first inclined plug net and the second inclined plug net are matched for use, so that foreign matters in sewage can be filtered twice, rotten pulp is obviously reduced, the water quality circulation ratio isimproved through sedimentation in the sedimentation tank and treatment in the air floatation bed, meanwhile, the dosage of sewage treatment chemicals is reduced, and the cost is saved; through cooperative use of the first rotating roller, the first gear, the first chain, the second rotating roller and the like, sewage can be stirred through the stirring roller, so that foreign matters can be automatically collected, and time and labor are saved."
81,211171432,Paper pulp molding equipment with spring ball type mold lifting device,CN,04.08.2020,D21J 3/00,201921492792.3,"WING FAT (JINAGSU) MOLDED FIBER PACKAGING TECHNOLOGY CO., LTD.",FEI GUOZHONG,"The utility model discloses paper pulp molding equipment with a spring ball type mold lifting device. The paper pulp molding equipment comprises a quick-release roller arm and the spring ball type mold lifting device. According to the utility model, rapid die change of paper pulp molding product molding equipment is realized, the temperature of the used die can be accurately controlled, the temperature deviation is controlled within +/-2 DEG C, the energy consumption is reduced, and the heating time is controlled within 10min, so that the production efficiency and the machine utilization rateare improved."
82,20230016230,Packaging unit from a moulded pulp material with display openings and method for manufacturing such packaging unit,US,19.01.2023,B65D 85/32,17787325,HUHTAMAKI MOLDED FIBER TECHNOLOGY B.V.,Sandor Klaas Veenje,"The present invention relates to a packaging unit (2) from a moulded pulp material, the packaging unit comprising a bottom part (4) with product receiving compartments for holding respective products, and a number of cones that are provided between the compartments, and having at least one bottom display surface, and a cover part (6) that is hingedly connected to the bottom part with a hinge-element (26), and having at least one cover display surface, wherein the packaging unit comprises a lock (28) for locking the bottom and cover parts in a closed position, wherein the bottom front surface and cover display surface comprise a number of display openings (42, 44, 46) that are positioned to display the product in the respective compartment, wherein the display openings in the bottom front surface and cover display surface are aligned, wherein the lock comprises a lock opening (32) and a cam element (30), and wherein the cam element is provided on a flapless front surface of the bottom part."
83,4077163,PACKAGING UNIT FROM A MOULDED PULP MATERIAL WITH DISPLAY OPENINGS AND METHOD FOR MANUFACTURING SUCH PACKAGING UNIT,EP,26.10.2022,B65D 85/32,20824360,HUHTAMAKI MOLDED FIBER TECH BV,VEENJE SANDOR KLAAS,"The present invention relates to a packaging unit (2) from a moulded pulp material, the packaging unit comprising a bottom part (4) with product receiving compartments for holding respective products, and a number of cones that are provided between the compartments, and having at least one bottom display surface, and a cover part (6) that is hingedly connected to the bottom part with a hinge-element (26), and having at least one cover display surface, wherein the packaging unit comprises a lock (28) for locking the bottom and cover parts in a closed position, wherein the bottom front surface and cover display surface comprise a number of display openings (42, 44, 46) that are positioned to display the product in the respective compartment, wherein the display openings in the bottom front surface and cover display surface are aligned, wherein the lock comprises a lock opening (32) and a cam element (30), and wherein the cam element is provided on a flapless front surface of the bottom part."
84,2017569,"Biodegradable food packaging unit from a moulded pulp material, and method for manufacturing such food packaging unit",NL,10.04.2018,D21H 27/10,2017569,HUHTAMAKI MOLDED FIBER TECH BV,HARALD JOHN KUIPER,"The present invention relates to a biodegradable food packaging unit from a moulded pulp material and a method for manufacturing such biodegradable packaging unit. The packaging according to the invention comprises a food receiving or carrying compartment, wherein the moulded pulp material comprises an amount of polybutylene succinate (PBS). In a preferred embodiment the amount of PBS is in the range of 0.5-20 wt.%, more preferably in the range of 1- 15 wt.%."
85,3119699,PACKAGING UNIT WITH LOCK AND METHOD FOR PACKING PRODUCTS,EP,25.01.2017,B65D 85/32,15726373,HUHTAMAKI MOLDED FIBER TECH BV,VEENJE SANDOR KLAAS,"The present invention relates to a packaging unit (2) made of moulded pulp for products like eggs, and a mould and method therefor. The packaging unit according to the present invention comprises: - a bottom part (4) provided with compartments (26) for individual products; - a cover part (14) comprising top (20), front (18) and rear surfaces (22) with the front surface comprising one or more openings; - a first locking element extending upwardly from the bottom part defining a cam (48) with an at least partly downwardly facing locking plane (56) with a length (D2) and a width, such that the length of the cam partly extends through the opening (58) in the front surface of the cover part in a closed position of the packaging unit; and - a second locking element at least partly extending inwardly from the front surface of the cover part over a length (D1) such that the first and the second locking elements define a lock (30) for the packaging unit, wherein the ratio of the length of the cam (D2) and the length (D1) of the second locking element is in the range of 1.25 - 3."
86,2996965,PACKAGING UNIT AND METHOD FOR PACKING PRODUCTS,EP,23.03.2016,B65D 85/32,14723511,HUHTAMAKI MOLDED FIBER TECH BV,HOEKSTRA HENDRIK CHRISTIAAN ADOLF,"The present invention relates to a packaging unit for products like eggs, and a method for packing products. The packaging unit according the present invention comprises: - a container made of moulded pulp with a bottom part for holding a product; and - a label made of moulded pulp comprising an embossing with the label being attached to the container."
87,2014266052,Packaging unit and method for packing products,AU,12.11.2015,B65D 85/32,2014266052,Huhtamaki Molded Fiber Technology B.V.,"Dijkstra, Wijbe","The present invention relates to a packaging unit for products like eggs, and a method for packing products. The packaging unit according the present invention comprises: - a container made of moulded pulp with a bottom part for holding a product; and - a label made of moulded pulp comprising an embossing with the label being attached to the container."
88,2909805,PACKAGING UNIT AND METHOD FOR PACKING PRODUCTS,CA,20.11.2014,B65D 85/32,2909805,HUHTAMAKI MOLDED FIBER TECHNOLOGY B.V.,"HOEKSTRA, HENDRIK CHRISTIAAN ADOLF","The present invention relates to a packaging unit for products like eggs, and a method for packing products. The packaging unit according the present invention comprises: - a container made of moulded pulp with a bottom part for holding a product; and - a label made of moulded pulp comprising an embossing with the label being attached to the container."
89,20160137350,Packaging Unit and Method for Packing Products,US,19.05.2016,B65D 25/20,14891802,HUHTAMAKI MOLDED FIBER TECHNOLOGY B.V.,Hendrik Christiaan Adolf Hoekstra,"The present invention relates to a packaging unit for products like eggs, and a method for packing products. The packaging unit according the present invention comprises:—a container made of moulded pulp with a bottom part for holding a product; and—a label made of moulded pulp comprising an embossing with the label being attached to the container."
90,2024533,METHOD FOR PRODUCING A MOULDED PULP MATERIAL FOR PACKAGING UNIT AND SUCH PACKAGING UNIT,NL,02.09.2021,D21J 3/00,2024533,Huhtamaki Molded Fiber Technology B.V.,Harald John Kuiper,The present invention relates to a method for producing a moulded pulp material that is       suitable for manufacturing of a packaging unit and such packaging unit. The method of the  5    invention comprises the steps of:                —     preparing a raW moulded pulp material;                —     providing the raW moulded pulp material to an extruder;                 —     extruding the raW moulded pulp material;                —     adding one or more additives; and 10             —     providing the moulded pulp material at the outlet of the extruder.
91,789075,METHOD FOR PRODUCING A MOULDED PULP MATERIAL FOR PACKAGING UNIT AND SUCH PACKAGING UNIT,NZ,01.07.2022,D21J 3/00,789075,Huhtamaki Molded Fiber Technology B.V.,"KUIPER, Harald John",The present invention relates to a method for producing a moulded pulp material that is suitable for manufacturing of a packaging unit and such packaging unit. The method of the invention comprises the steps of: − preparing a raw moulded pulp material; − providing the raw moulded pulp material to an extruder; − extruding the raw moulded pulp material; − adding one or more additives; and − providing the moulded pulp material at the outlet of the extruder.
92,2020410029,Method for producing a moulded pulp material for packaging unit and such packaging unit,AU,24.06.2021,D21J 3/00,2020410029,Huhtamaki Molded Fiber Technology B.V.,"KUIPER, Harald John",The present invention relates to a method for producing a moulded pulp material that is suitable for manufacturing of a packaging unit and such packaging unit. The method of the invention comprises the steps of: − preparing a raw moulded pulp material; − providing the raw moulded pulp material to an extruder; − extruding the raw moulded pulp material; − adding one or more additives; and − providing the moulded pulp material at the outlet of the extruder.
93,202227031976,METHOD FOR PRODUCING A MOULDED PULP MATERIAL FOR PACKAGING UNIT AND SUCH PACKAGING UNIT,IN,26.08.2022,B65D /,202227031976,HUHTAMAKI MOLDED FIBER TECHNOLOGY B.V.,"KUIPER, Harald John",The present invention relates to a method for producing a moulded pulp material that is suitable for manufacturing of a packaging unit and such packaging unit. The method of the invention comprises the steps of: - preparing a raw moulded pulp material; - providing the raw moulded pulp material to an extruder; - extruding the raw moulded pulp material; - adding one or more additives; and - providing the moulded pulp material at the outlet of the extruder.
94,4077809,METHOD FOR PRODUCING A MOULDED PULP MATERIAL FOR PACKAGING UNIT AND SUCH PACKAGING UNIT,EP,26.10.2022,D21J 3/00,20828691,HUHTAMAKI MOLDED FIBER TECH BV,KUIPER HARALD JOHN,The present invention relates to a method for producing a moulded pulp material that is suitable for manufacturing of a packaging unit and such packaging unit. The method of the invention comprises the steps of: − preparing a raw moulded pulp material; − providing the raw moulded pulp material to an extruder; − extruding the raw moulded pulp material; − adding one or more additives; and − providing the moulded pulp material at the outlet of the extruder.
95,3160598,METHOD FOR PRODUCING A MOULDED PULP MATERIAL FOR PACKAGING UNIT AND SUCH PACKAGING UNIT,CA,24.06.2021,D21J 3/00,3160598,HUHTAMAKI MOLDED FIBER TECHNOLOGY B.V.,"KUIPER, HARALD JOHN",The present invention relates to a method for producing a moulded pulp material that is suitable for manufacturing of a packaging unit and such packaging unit. The method of the invention comprises the steps of: ? preparing a raw moulded pulp material; ? providing the raw moulded pulp material to an extruder; ? extruding the raw moulded pulp material; ? adding one or more additives; and ? providing the moulded pulp material at the outlet of the extruder.
96,20210261310,"Biodegradable and Compostable Food Packaging Unit from a Moulded or Fluff Pulp Material with a Laminated Multi-Layer, and Method for Manufacturing Such Food Packaging",US,26.08.2021,B65D 65/40,17260908,Huhtamaki Molded Fiber Technology B.V.,Harald John Kuiper,"The present invention relates to a biodegradable food packaging unit from a moulded or fluff pulp material and a method for manufacturing such biodegradable packaging unit. The packaging according to the invention comprises a food receiving and/or carrying compartment that comprises a biodegradable laminated multi-layer, with the multi-layer comprising: —an inner cover layer comprising an amount of a biodegradable aliphatic polyester; —a first intermediate layer of a biodegradable material for connecting and/or sealing adjacent layers; —a functional layer comprising a vinyl alcohol polymer; —a second intermediate layer of a biodegradable material for connecting and/or sealing adjacent layers; and—an outer cover layer comprising an amount of a biodegradable aliphatic polyester, and wherein the food packaging unit is a compostable food packaging unit."
97,20210371191,Packaging unit from a moulded pulp material with elevated lock and method for manufacturing such packaging unit,US,02.12.2021,B65D 85/32,17331148,Huhtamaki Molded Fiber Technology B.V.,Sandor Klaas Veenje,"A packaging unit from a moulded pulp material and a manufacturing method therefor. The packaging unit comprises a bottom part with product receiving compartments and a number of cones that are provided between the compartments, a cover part a hinge configured for hingedly connecting the bottom part with the cover part, and a lock configured for locking the cover part to the bottom part, with the lock comprising a one or more locking openings and one or more corresponding locking cams. The bottom part comprises a support member that is configured for engaging the cover part and wherein the one or more locking openings comprise and/or are circumvented by a backwards curved upper edge that is at least partially positioned in the transition region."
98,202127001741,"BIODEGRADABLE AND COMPOSTABLE FOOD PACKAGING UNIT FROM A MOULDED OR FLUFF PULP MATERIAL WITH A LAMINATED MULTI-LAYER, AND METHOD FOR MANUFACTURING SUCH FOOD PACKAGING UNIT",IN,19.03.2021,B32B /,202127001741,HUHTAMAKI MOLDED FIBER TECHNOLOGY B.V.,"KUIPER, Harald John","The present invention relates to a biodegradable food packaging unit from a moulded or fluff pulp material and a method for manufacturing such biodegradable packaging unit. The packaging according to the invention comprises a food receiving and/or carrying compartment that comprises a biodegradable laminated multi-layer, with the multi-layer comprising: - an inner cover layer comprising an amount of a biodegradable aliphatic polyester; - a first intermediate layer of a biodegradable material for connecting and/or sealing adjacent layers; - a functional layer comprising a vinyl alcohol polymer; - a second intermediate layer of a biodegradable material for connecting and/or sealing adjacent layers; and - an outer cover layer comprising an amount of a biodegradable aliphatic polyester, and wherein the food packaging unit is a compostable food packaging unit."
99,3824140,"BIODEGRADABLE AND COMPOSTABLE FOOD PACKAGING UNIT FROM A MOULDED OR FLUFF PULP MATERIAL WITH A LAMINATED MULTI-LAYER, AND METHOD FOR MANUFACTURING SUCH FOOD PACKAGING UNIT",EP,26.05.2021,B65D 65/46,19749459,HUHTAMAKI MOLDED FIBER TECH BV,KUIPER HARALD JOHN,"The present invention relates to a biodegradable food packaging unit from a moulded or fluff pulp material and a method for manufacturing such biodegradable packaging unit. The packaging according to the invention comprises a food receiving and/or carrying compartment that comprises a biodegradable laminated multi-layer, with the multi-layer comprising: - an inner cover layer comprising an amount of a biodegradable aliphatic polyester; - a first intermediate layer of a biodegradable material for connecting and/or sealing adjacent layers; - a functional layer comprising a vinyl alcohol polymer; - a second intermediate layer of a biodegradable material for connecting and/or sealing adjacent layers; and - an outer cover layer comprising an amount of a biodegradable aliphatic polyester, and wherein the food packaging unit is a compostable food packaging unit."
100,2019305958,"Biodegradable and compostable food packaging unit from a moulded or fluff pulp material with a laminated multi-layer, and method for manufacturing such food packaging unit",AU,23.01.2020,D21J 3/00,2019305958,Huhtamaki Molded Fiber Technology B.V.,"KUIPER, Harald John","The present invention relates to a biodegradable food packaging unit from a moulded or fluff pulp material and a method for manufacturing such biodegradable packaging unit. The packaging according to the invention comprises a food receiving and/or carrying compartment that comprises a biodegradable laminated multi-layer, with the multi-layer comprising: - an inner cover layer comprising an amount of a biodegradable aliphatic polyester; - a first intermediate layer of a biodegradable material for connecting and/or sealing adjacent layers; - a functional layer comprising a vinyl alcohol polymer; - a second intermediate layer of a biodegradable material for connecting and/or sealing adjacent layers; and - an outer cover layer comprising an amount of a biodegradable aliphatic polyester, and wherein the food packaging unit is a compostable food packaging unit."
101,806140,PACKAGING UNIT FROM A MOULDED PULP MATERIAL WITH A SELF-ALIGNING ELEMENT AND METHOD FOR MANUFACTURING SUCH PACKAGING UNIT,NZ,22.12.2023,B65D 85/32,806140,Huhtamaki Molded Fiber Technology B.V.,"VAN DER MEIJ, Jelmer Gerhard Jan","The present invention relates to a packaging unit (2) from a moulded pulp material, a method for packing products, and a method for manufacturing such packaging units. The packaging unit comprises: - a bottom part (4) with product receiving compartments for holding respective products, with the bottom part at least having a bottom front (8), a bottom rear (14), and two bottom sides (10, 12); - a cover part (6) at least having a cover front (20), a cover top (18), and two cover sides (22, 24); - a hinge-element (28) for hingedly connecting the cover and bottom parts; and - a lock (30) for locking the bottom and cover parts in a closed position of the packaging unit, and wherein the bottom side and cover side comprise a side edge having a self-aligning element (56)."
102,2022734,"BIODEGRADABLE AND COMPOSTABLE FOOD PACKAGING UNIT FROM A MOULDED OR FLUFF PULP MATERIAL WITH A LAMINATED MULTI-LAYER, AND METHOD FOR MANUFACTURING SUCH FOOD PACKAGING UNIT",NL,29.01.2020,B65D 65/42,2022734,HUHTAMAKI MOLDED FIBER TECH BV,HARALD JOHN KUIPER,"The present invention relates to a biodegradable food packaging unit from a moulded or fluff pulp material and a method for manufacturing such biodegradable packaging unit. The packaging according to the invention comprises a food receiving and/or carrying compartment that comprises a biodegradable laminated multi-layer, With the multi-layer comprising: - an inner cover layer comprising an amount of a biodegradable aliphatic polyester; - a first intermediate layer of a biodegradable material for connecting and/or sealing adjacent layers; - a functional layer comprising a Vinyl alcohol polymer; - a second intermediate layer of a biodegradable material for connecting and/or sealing adjacent layers; and - an outer cover layer comprising an amount of a biodegradable aliphatic polyester, and wherein the food packaging unit is a compostable food packaging unit."
103,20230031748,Method for Producing a Moulded Pulp Material for Packaging Unit and Such Packaging Unit,US,02.02.2023,D21J 3/00,17786857,Huhtamaki Molded Fiber Technology B.V.,Harald John Kuiper,The present invention relates to a method for producing a moulded pulp material that is suitable for manufacturing of a packaging unit and such packaging unit. The method of the invention comprises the steps of: - preparing a raw moulded pulp material; - providing the raw moulded pulp material to an extruder; - extruding the raw moulded pulp material; - adding one or more additives; and - providing the moulded pulp material at the outlet of the extruder.
104,109722947,Paper pulp molding modular removable die,CN,07.05.2019,D21J 5/00,201910070317.5,"WING FAT (JIANGSU) MOLDED FIBER PACKAGING TECHNOLOGY CO., LTD.",DONG ZHIKANG,"The invention provides a paper pulp molding modular removable die. The die includes a disassembly mechanism, a lifting mechanism and pulp suction moulds. The disassembly mechanism is sleeved on the lifting mechanism, the pulp suction moulds are fixed to the outer sides of the disassembly mechanism, the disassembly mechanism includes a rectangular-ambulatory-plane shaped fixed plate, positioning blocks, disassembly through holes, fixed grooves, countersunk head through holes, a positioning groove and threaded holes. The lifting mechanism comprises an upper fixed plate, a pull rope, a platform plate, a guide rod, a lower fixed plate, a motor 1, a support seat, a U-shaped frame, a hook, a motor 2, a winding wheel, a guide hole and a top rod. Compared with the prior art, the paper pulp moldingmodular removable die provided by the invention has the following beneficial effects that: the die realizes separate disassembly of modules in the whole die and can achieve replacement with modules of the same shape, is convenient for replacement of damaged modules, increases the production efficiency, reduces the maintenance cost of the die, also realizes the purposes of lifting and rotating, improves the working effect, and is convenient to disassemble."
105,110878495,Paper pulp molding equipment with honeycomb type electric permanent magnet quick mold locking device,CN,13.03.2020,D21J 3/00,201911002115.3,"WING FAT (JIANGSU) MOLDED FIBER PACKAGING TECHNOLOGY CO., LTD.",FEI GUOZHONG,"The invention discloses paper pulp molding equipment with a honeycomb type electric permanent magnet quick mold locking device. The paper pulp molding equipment comprises a magnetic workbench, a moldis arranged on the magnetic workbench, and the magnetic workbench comprises a working stress loading surface and an induction electromagnetic coil. Rapid mold changing of the paper pulp molding equipment is achieved through mold rapid locking and loosening, the temperature of used molds can be accurately controlled, the temperature deviation is controlled within +/-2 DEG C, energy consumption is reduced, the temperature rising time is controlled within 10 min, and therefore the production efficiency and the machine utilization rate are improved."
106,211621014,Honeycomb type electric permanent magnet rapid mold locking device and pulp molding equipment thereof,CN,02.10.2020,D21J 3/00,201921768900.5,"WING FAT (JINAGSU) MOLDED FIBER PACKAGING TECHNOLOGY CO., LTD.",FEI GUOZHONG,"The utility model discloses paper pulp molding equipment with a honeycomb type electric permanent magnet quick mold locking device, which comprises a magnetic workbench, a mold is arranged on the magnetic workbench, and the magnetic workbench comprises a working stress surface and an induction electromagnetic coil. According to the utility model, rapid die change of the pulp molding product molding equipment is realized through rapid locking and loosening of the die, the temperature of the used die can be accurately controlled, the temperature deviation is controlled within +/-2 DEG C, the energy consumption is reduced, and the temperature rise time is controlled within 10min, so that the production efficiency and the machine utilization rate are improved."
107,217293749,Corrugated paper bonding system,CN,26.08.2022,B31F 5/04,202220568523.6,"WING FAT (JIANGSU) MOLDED FIBER PACKAGING TECHNOLOGY CO., LTD.",WANG PENG,"The utility model provides a corrugated paper bonding system which comprises a conveying mechanism, a bonding mechanism and a supporting rod, the conveying mechanism comprises a conveying belt and baffles arranged on the two sides of the conveying belt, the bonding mechanism comprises a guide rod and a bonding assembly, the guide rod is arranged on the conveying belt, and the bonding assembly is arranged on the conveying belt. The guide rods comprise the first guide rod and the second guide rod, one end of each supporting rod is fixedly connected to the corresponding baffle, the other end of each supporting rod is fixedly connected to the corresponding guide rod, and an upstream and a downstream which are opposite are arranged in an area defined by the guide rods in the conveying direction of the conveying belt. And the bonding assembly is arranged between the first guide rod and the second guide rod. The corrugated paper bonding system improves the corrugated paper bonding efficiency during molding production and preparation in the prior art."
108,725733,"PACKAGING UNIT WITH LOCK AND ADJUSTED LABEL, AND METHOD FOR PACKING PRODUCTS",NZ,31.10.2016,B65D 85/32,725733,HUHTAMAKI MOLDED FIBER TECHNOLOGY B.V.,"VAN DER MEIJ, Jelmer Gerhard Jan","The present invention relates to a packaging unit (2) made of moulded pulp for products like eggs, and a mould and method therefor. The packaging unit comprises: a bottom part (4) provided with compartments (26) for individual products; a cover part (14) comprising top (24), front (18) and rear (22) surfaces with the front surface comprising one or more openings (29); a first locking element extending upwardly from the bottom part defining a cam (31) with an at least partly downwardly facing locking plane (156) with a length and a width, such that the length of the cam partly extends through the opening in the front surface of the cover part in a closed position of the packaging unit; and a label (36,50,60) provided on the cover part, wherein the label is provided with a curved cut (38,52,62) that is configured to enable the cam to partly extend through the opening in the cover part and remain substantially behind the label seen in a front view of the packaging unit in a closed position. By providing the label of the cover part with a curved cut at or close to the location of the first locking element in a closed position of the packaging unit, the packaging unit can be locked securely, while maintaining the front view of the label substantially intact. This provides an effective display surface to provide consumers with relevant information about the products inside the packaging unit, for example."
109,2015636,"Packaging unit with counter-embossed label, and method for packing products.",NL,11.05.2017,B65D 85/32,2015636,HUHTAMAKI MOLDED FIBER TECH BV,WIJBE DIJKSTRA,"The present invention relates to a packaging unit with a label for products like eggs, and a method there for. The packaging unit according to the present invention comprises: - a bottom part made of moulded pulp provided with compartments for individual products and comprising a first locking element; - a cover part made of moulded pulp comprising top, front, side and rear surfaces with the front surface comprising a second locking element configured for defining a lock with the first locking element in a closed state of the packaging unit; and - a label provided on the packaging unit with the label comprising an embossing, with the embossing further comprising a counter-embossing."
110,2013803,"Packaging unit with lock and adjusted label, and method for packing products.",NL,10.10.2016,B65D 85/32,2013803,HUHTAMAKI MOLDED FIBER TECH BV,WIJBE DIJKSTRA,"The present invention relates to a packaging unit made of moulded pulp with a 5-sided label for products like eggs, and a method there for. The packaging unit according to the present invention comprises: - a bottom part provided with compartments for individual products and comprising a first locking element; - a cover part comprising top, front, side and rear surfaces with the front surface comprising one or more openings configured for receiving the first locking element in a closed position of the packaging unit; and - a label provided on the cover part comprising a 5-sided label having label parts on the top, front, side and rear surface with the label comprising mouldable material."
111,20190084755,"PACKAGING UNIT WITH COUNTER-EMBOSSED LABEL, AND METHOD FOR PACKING PRODUCTS",US,21.03.2019,B65D 85/32,15769927,HUHTAMAKI MOLDED FIBER TECHNOLOGY B.V.,Wijbe DIJKSTRA,"The present specification relates to a packaging unit with a label for products like eggs, and a method there for. The packaging unit according to the present specification comprises a bottom part made of moulded pulp provided with compartments for individual products and comprising a first locking element; a cover part made of moulded pulp comprising top, front, side and rear surfaces with the front surface comprising a second locking element configured for defining a lock with the first locking element in a closed state of the packaging unit; and a label provided on the packaging unit with the label comprising an embossing, with the embossing further comprising a counter-embossing."
112,2021327,Packaging unit from a moulded pulp material with peelable laminated layer and method for manufacturing such packaging unit,NL,07.10.2019,B65D 65/46,2021327,HUHTAMAKI MOLDED FIBER TECH BV,HARALD JOHN KUIPER,"The present invention relates to a packaging unit for a moulded pulp material and a manufacturing process therefore. The packaging unit according to the invention comprises a product receiving or carrying compartment having a product contact surface, Wherein the product contact surface comprises a peelable laminate layer. In a presently preferred embodiment the moulded pulp material comprises an amount of a bio-degradable aliphatic polyester."
113,3774572,PACKAGING UNIT FROM A MOULDED PULP MATERIAL WITH PEELABLE LAMINATED LAYER AND METHOD FOR MANUFACTURING SUCH PACKAGING UNIT,EP,17.02.2021,B65D 65/46,19719942,HUHTAMAKI MOLDED FIBER TECH BV,KUIPER HARALD JOHN,"The present invention relates to a packaging unit (2) for a moulded pulp material and a manufacturing process therefore. The packaging unit according to the invention comprises a product receiving or carrying compartment having a product contact surface, wherein the product contact surface comprises a peelable laminate layer (10). In a presently preferred embodiment the moulded pulp material comprises an amount of a bio-degradable aliphatic polyester."
114,202027040161,PACKAGING UNIT FROM A MOULDED PULP MATERIAL WITH PEELABLE LAMINATED LAYER AND METHOD FOR MANUFACTURING SUCH PACKAGING UNIT,IN,12.02.2021,B65D 65/46,202027040161,HUHTAMAKI MOLDED FIBER TECHNOLOGY B.V.,"KUIPER, Harald John","The present invention relates to a packaging unit (2) for a moulded pulp material and a manufacturing process therefore. The packaging unit according to the invention comprises a product receiving or carrying compartment having a product contact surface, wherein the product contact surface comprises a peelable laminate layer (10). In a presently preferred embodiment the moulded pulp material comprises an amount of a bio-degradable aliphatic polyester."
115,2019243538,Packaging unit from a moulded pulp material with peelable laminated layer and method for manufacturing such packaging unit,AU,03.10.2019,B65D 65/46,2019243538,Huhtamaki Molded Fiber Technology B.V.,"KUIPER, Harald John","The present invention relates to a packaging unit (2) for a moulded pulp material and a manufacturing process therefore. The packaging unit according to the invention comprises a product receiving or carrying compartment having a product contact surface, wherein the product contact surface comprises a peelable laminate layer (10). In a presently preferred embodiment the moulded pulp material comprises an amount of a bio-degradable aliphatic polyester."
116,3094089,PACKAGING UNIT FROM A MOULDED PULP MATERIAL WITH PEELABLE LAMINATED LAYER AND METHOD FOR MANUFACTURING SUCH PACKAGING UNIT,CA,03.10.2019,B65D 65/46,3094089,HUHTAMAKI MOLDED FIBER TECHNOLOGY B.V.,"KUIPER, HARALD JOHN","The present invention relates to a packaging unit (2) for a moulded pulp material and a manufacturing process therefore. The packaging unit according to the invention comprises a product receiving or carrying compartment having a product contact surface, wherein the product contact surface comprises a peelable laminate layer (10). In a presently preferred embodiment the moulded pulp material comprises an amount of a bio-degradable aliphatic polyester."
117,4058379,PACKAGING UNIT WITH RIBS AND METHOD FOR PACKING PRODUCTS,EP,21.09.2022,B65D 85/32,20811768,HUHTAMAKI MOLDED FIBER TECH BV,VEENJE SANDOR KLAAS,"The present invention relates to a packaging unit (2) with a label for products like eggs, and a method there for. The packaging unit according to the present invention comprises: - a cover part (14) comprising top, front, side and rear surfaces; and - a bottom part (4) comprising a number of compartments (26) for individual products, and a number of cones (28) that are positioned between adjacent compartments; wherein the bottom part comprising a number of ribs (34) extending between at least some of the compartments, wherein the bottom part further comprises a groove (48) between adjacent compartments, and wherein the grooves fire configured to receive part of the ribs of another packaging unit."
118,20210009327,Packaging Unit from a Moulded Pulp Material with Peelable Laminated Layer and Method for Manufacturing Such Packaging Unit,US,14.01.2021,B65D 65/46,16982702,Huhtamaki Molded Fiber Technology B.V.,Harald John Kuiper,"The present invention relates to a packaging unit (2) for a moulded pulp material and a manufacturing process therefore. The packaging unit according to the invention comprises a product receiving or carrying compartment having a product contact surface, wherein the product contact surface comprises a peelable laminate layer (10). In a presently preferred embodiment the moulded pulp material comprises an amount of a bio-degradable aliphatic polyester."
119,20220411173,PACKAGING UNIT WITH RIBS AND METHOD FOR PACKING PRODUCTS,US,29.12.2022,B65D 85/32,17775212,HUHTAMAKI MOLDED FIBER TECHNOLOGY B.V.,Sandor Klaas VEENJE,"The present invention relates to a packaging unit (2) with a label for products like eggs, and a method there for. The packaging unit according to the present invention comprises: a cover part (14) comprising top, front, side and rear surfaces; and a bottom part (4) comprising a number of compartments (26) for individual products, and a number of cones (28) that are positioned between adjacent compartments; wherein the bottom part comprising a number of ribs (34) extending between at least some of the compartments, wherein the bottom part further comprises a groove (48) between adjacent compartments, and wherein the grooves fire configured to receive part of the ribs of another packaging unit"
120,2862815,Method for manufacturing a moulded fibre packaging and moulded fibre food packaging,EP,22.04.2015,D21H 17/12,13188739,HUHTAMAKI MOLDED FIBER TECH BV,KOOPMANS BENNO ALEXANDER,"The invention relates to a method for manufacturing a moulded fibre packaging in particular a food package , more particular an egg package, comprising, 
- providing a fibre pulp for a moulding process, the fibre pulp being contained in a pulp container,  
characterized in that the method comprises, 
- adding lignocellulosic biomass not originating from wood to the pulp container to obtain a pulp mix comprising between 5-80% lignocellulosic biomass, wherein the lignocellulosic biomass contains between 0 to 2% protein in dry weight"
