,Publication Number,Title,Country Code,Filing Date,International Classification,Application Number,Applicant,Inventor,Description
41,WO/2022/218872,A CELLULOSE PRODUCT TOGGLE PRESSING MODULE AND METHOD FOR USING THE SAME,WO,20.10.2022,B30B 11/00,PCT/EP2022/059510,PULPAC AB,"LARSSON, Ove","A product forming unit (U) for manufacturing non-flat cellulose products (1) from an air-formed cellulose blank structure (2). The product forming unit (U) comprises a blank dry-forming module (4) with a moveable forming wire (4c), a toggle pressing module (6) with a toggle press (6a) and a forming mould (3), and an electronic control system (6h) operatively connected to the forming wire (4c) and the toggle press (6a). The blank dry-forming module (4) is configured for air-forming the cellulose blank structure (2) onto the forming wire (4c). The toggle press (6a) includes a pressing member (6d) movably arranged in a pressing direction, a toggle-mechanism (6e) drivingly connected to the pressing member (6d), a pressing actuator arrangement (6f) drivingly connected to the toggle-mechanism (6e). The forming mould (3) includes a moveable first mould part (3a) attached to the pressing member (6d) and a second mould part (3b). The electronic control system (6h) is configured for controlling operation of the pressing actuator arrangement (6f) for performing pressing operations, which involves driving the pressing member (6d) in the pressing direction by means of the toggle-mechanism (6e), and thereby forming the non-flat cellulose product from the air-formed cellulose blank structure by pressing the first mould part (3a) against the second mould part (3b). The electronic control system (6h) further is configured for intermittently feeding the forming wire (4c) between subsequent pressing operations."
42,4323182,A CELLULOSE PRODUCT TOGGLE PRESSING MODULE AND METHOD FOR USING THE SAME,EP,21.02.2024,B30B 11/00,22720730,PULPAC AB,LARSSON OVE,"A product forming unit (U) for manufacturing non-flat cellulose products (1) from an air-formed cellulose blank structure (2). The product forming unit (U) comprises a blank dry-forming module (4) with a moveable forming wire (4c), a toggle pressing module (6) with a toggle press (6a) and a forming mould (3), and an electronic control system (6h) operatively connected to the forming wire (4c) and the toggle press (6a). The blank dry-forming module (4) is configured for air-forming the cellulose blank structure (2) onto the forming wire (4c). The toggle press (6a) includes a pressing member (6d) movably arranged in a pressing direction, a toggle-mechanism (6e) drivingly connected to the pressing member (6d), a pressing actuator arrangement (6f) drivingly connected to the toggle-mechanism (6e). The forming mould (3) includes a moveable first mould part (3a) attached to the pressing member (6d) and a second mould part (3b). The electronic control system (6h) is configured for controlling operation of the pressing actuator arrangement (6f) for performing pressing operations, which involves driving the pressing member (6d) in the pressing direction by means of the toggle-mechanism (6e), and thereby forming the non-flat cellulose product from the air-formed cellulose blank structure by pressing the first mould part (3a) against the second mould part (3b). The electronic control system (6h) further is configured for intermittently feeding the forming wire (4c) between subsequent pressing operations."
43,0255654,"Method of dry-forming sheet products containing super-absorbent polymers mixed with cellulosic fibres, and absorbent products thus obtained.",EP,10.02.1988,A47L 13/16,87110589,MIRA LANZA SPA,NISTRI UGO,"Method of dry-forming sheet products comprising super-absorbent polymer mixed with cellulose fibres, comprising the steps of : (a) forming a suspension, in an air stream, of an intimate mixture of cellulose fibres and super-absorbent polymer; (b) feeding said suspension to a single or multiple head for dry-forming sheets of paper; (c) laying-down said intimate mixture of cellulose fibres and super-absorbent polymer onto a moving web for dry-forming sheets of paper; (d) binding together the thus laid-down layer of fibres and polymer by means of a resin dispersion, of the type which is used for the dry-formation of paper sheets, and calendering it so as to dry-form a sheet constituted by a mixture of super-absorbent polymer and cellulose fibres. The product thus obtained shows characteristics of absorbency, resistance and distributing of the absorbed liquids, which are decidedly better than those of the known composite sheets, such as those comprising one or more supporting layers of tissue paper and/or dry-formed paper having a layer of super-absorbent polymer disposed thereon."
44,545767,"Process for manufacturing a fiber based cellulose dry formed web from cellulose pulp by free drying, compacting, separating the fibers and forming a web",SE,07.08.2021,D04H 1/26,2050129,SOEDRA SKOGSAEGARNA EKONOMISK FOERENING,BÖRJESSON KATRIN,"The present inventive concept relates to a process for manufacturing a fiber based cellulose web for dry forming comprising. The process comprises providing a wet cellulose pulp; free drying said wet cellulose pulp to a free dried cellulose pulp, wherein said free drying provides a curl to fibres of said free dried cellulose pulp; separating said free dried cellulose pulp into individual free dried cellulose pulp fibres; andforming said individual free dried cellulose pulp fibres into a cellulose web."
45,0886698,AN ABSORBENT SHEET OR WEB MATERIAL AND A METHOD OF PRODUCING THE MATERIAL BY DRY FORMING,EP,30.12.1998,D04H 1/425,97902160,SCAN WEB,SCHILKOWSKI HELMUT ERWIN,"An inexpensive sheet or web shaped fibre material for use e.g. in sanitary napkins typically consists of a mixture of short cellulose fibres and some 15 % of relatively long, thermoplastic binder fibres. It is a noticeable problem that the short fibres 'dust' out of the material, and according to the invention this is remedied in that the material, when made by dry forming, is provided with a surface coating of very thin layers of pure binder fibres. In addition to a marked holding back of the dust, these layers condition that the amount of binder fibres in the base material can be halved and that the breaking stress of the material is noticeably improved. Thereby the products are usable not only as inserts, but also as individual, self-contained units e.g. for wiping in domestic or industrial cleaning."
46,WO/1997/030223,AN ABSORBENT SHEET OR WEB MATERIAL AND A METHOD OF PRODUCING THE MATERIAL BY DRY FORMING,WO,21.08.1997,D04H 1/425,PCT/DK1997/000066,SCAN-WEB I/S,"SCHILKOWSKI, Helmut, Erwin","An inexpensive sheet or web shaped fibre material for use e.g. in sanitary napkins typically consists of a mixture of short cellulose fibres and some 15 % of relatively long, thermoplastic binder fibres. It is a noticeable problem that the short fibres 'dust' out of the material, and according to the invention this is remedied in that the material, when made by dry forming, is provided with a surface coating of very thin layers of pure binder fibres. In addition to a marked holding back of the dust, these layers condition that the amount of binder fibres in the base material can be halved and that the breaking stress of the material is noticeably improved. Thereby the products are usable not only as inserts, but also as individual, self-contained units e.g. for wiping in domestic or industrial cleaning."
47,4542755,Dry-forming of reconstituted tobacco and resulting product,US,24.09.1985,A24B 9/00,06613922,Kimberly-Clark Corporation,Selke William A.,"An improved method of making reconstituted tobacco using a dry-forming process. Fiberized tobacco stems and scrap are combined with tobacco material of a fine particle size. The resulting tobacco mixture is conveyed in an airstream and deposited on a moving foraminous surface. An adhesive is incorporated into or applied to the web bonding the tobacco particles into a coherent sheet, and the sheet is dried if necessary. The dried sheet may be divided into leaflets or shredded for further processing as reconstituted tobacco. In preferred embodiments, cellulose fibers are mixed with the tobacco particles prior to web formation to impart increased sheet strength. In a further embodiment tobacco fines are mixed with the adhesive and applied to the web in the adhesive composition. Results obtained by means of the present invention include cost savings particularly in terms of reduced capital costs. Because the tobacco is used substantially in its natural state, the aroma and other desirable tobacco attributes are retained."
48,1235974,DRY FORMING OF RECONSTITUTED TOBACCO AND RESULTING  PRODUCT,CA,03.05.1988,A24B 3/14,482198,,"SELKE, WILLIAM A.","ABSTRACT OF THE DISCLOSURE     An  improved  method  of  making  reconstituted  tobacco using a dry-forming process.  Fiberized tobacco stems and scrap are combined with tobacco material of a fine particle size.    The  resulting tobacco mixture  is conveyed  in an airstream and deposited on a moving foraminous surface.  An adhesive is incorporated into or applied to the web bonding the tobacco particles into a coherent sheet, and the sheet is dried if necessary.  The dried sheet may be divided into leaflets or shredded for further processing as reconstituted tobacco.   In preferred embodiments,  cellulose  fibers  are mixed with the tobacco particles prior to web formation to impart increased sheet strength.   In a further embodiment tobacco fines are mixed with the adhesive and applied to the web in the adhesive composition.  Results obtained by means of the present invention include cost savings particularly in terms of reduced capital costs. Because the tobacco is used substantially in its natural state, the aroma and other desirable tobacco attributes are retained."
49,2018010761,"METODO PARA LA FABRICACION DE UN PRODUCTO DE CELULOSA, APARATO DE FORMACION DE UN PRODUCTO DE CELULOSA Y PRODUCTO DE CELULOSA.",MX,20.05.2019,B65B 43/08,2018010761,PULPAC AB,Ove LARSSON,"A method for manufacturing a cellulose product, comprising the steps: dry forming a cellulose blank in a dry forming unit; arranging the cellulose blank in a forming mould; heating the cellulose blank to a forming temperature in the range of 100°C to 200°C; and pressing the cellulose blank in the forming mould with a forming pressure of at least 1 MPa."
50,3429928,"Fremgangsmåde til fremstilling af et celluloseprodukt, celluloseproduktformningsindretning og celluloseprodukt",DK,31.01.2022,B29B 13/06,17767071,Pulpac AB,"LARSSON, Ove","A method for manufacturing a cellulose product, comprising the steps: dry forming a cellulose blank in a dry forming unit; arranging the cellulose blank in a forming mould; heating the cellulose blank to a forming temperature in the range of 100°C to 200°C; and pressing the cellulose blank in the forming mould with a forming pressure of at least 1 MPa."
51,3967615,"Fremgangsmåde til fremstilling af et celluloseprodukt, celluloseproduktformningsindretning og celluloseprodukt",DK,17.04.2023,B27N 3/04,21206499,PulPac AB,"Larsson, Ove","A method for manufacturing a cellulose product, comprising the steps: dry forming a cellulose blank in a dry forming unit; arranging the cellulose blank in a forming mould; heating the cellulose blank to a forming temperature in the range of 100°C to 200°C; and pressing the cellulose blank in the forming mould with a forming pressure of at least 1 MPa."
52,3882167,"Fremgangsmåde til fremstilling af et celluloseprodukt, celluloseproduktformningsindretning og celluloseprodukt",DK,25.03.2024,B27N 3/04,21162661,PulPac AB,"LARSSON, Ove","A method for manufacturing a cellulose product, comprising the steps: dry forming a cellulose blank in a dry forming unit; arranging the cellulose blank in a forming mould; heating the cellulose blank to a forming temperature in the range of 100°C to 200°C; and pressing the cellulose blank in the forming mould with a forming pressure of at least 1 MPa."
53,4043353,"Fremgangsmåde til fremstilling af et celluloseprodukt, celluloseproduktformningsindretning og celluloseprodukt",DK,25.03.2024,B27N 3/04,22167476,PulPac AB,"LARSSON, Ove","A method for manufacturing a cellulose product, comprising the steps: dry forming a cellulose blank in a dry forming unit; arranging the cellulose blank in a forming mould; heating the cellulose blank to a forming temperature in the range of 100°C to 200°C; and pressing the cellulose blank in the forming mould with a forming pressure of at least 1 MPa."
54,543410,A method for producing cellulose products and a forming unit,SE,09.09.2020,B27N 3/04,1950299,PULPAC AB,ARLEROT BJÖRN,"A method for producing cellulose products (2) from a cellulose blank (3), wherein the method comprises the steps; dry-forming the cellulose blank (3) in a forming unit (13), wherein the forming unit (13) comprises a mill unit (14), a forming chamber (15), and a forming wire (16) arranged in connection to the forming chamber (15), wherein the mill unit (14) is arranged for separating fibres from a pulp structure (20) and distributing the separated fibres into the forming chamber (15), wherein the forming chamber (15) comprises a forming belt unit (17) arranged in connection to the forming wire (16), wherein the forming wire (16) and the forming belt unit (17) are arranged at an output section (18) of the forming chamber (15), wherein the forming wire (16) and the forming belt unit (17) are transporting the separated fibres towards the output section (18); arranging the cellulose blank (3) in a forming mould (4) between a first mould part (5a) and a second mould part (5b); heating the cellulose blank (3) to a forming temperature in the range of 100°C to 300°C; and forming the cellulose products (2) from the cellulose blank (3) in the forming mould (4), by pressing the heated cellulose blank (3) with an isostatic forming pressure (Piso) in the range 1-100 MPa, preferably 4-20 MPa."
55,545968,METHOD FOR TRANSPORTING A CELLULOSE BLANK STRUCTURE VIA A BUFFERING MODULE AND BUFFERING MODULE,SE,09.01.2024,B65G 47/51,2250875,PULPAC AB,HÖGBLOM OLLE,"A method for transporting an air-formed cellulose blank structure to a forming mould via a buffering module, where the cellulose blank structure has a first side and an opposite second side. The forming mould is arranged for dry-forming cellulose products from the cellulose blank structure. The buffering module comprises a first endless belt unit, a second endless belt unit, and a third endless belt unit, where the second endless belt unit is arranged in-between and in a longitudinal overlapping relationship to the first endless belt unit and the third endless belt unit. The second endless belt unit is movably arranged relative to the first endless belt unit and the third endless belt unit. The method comprises the steps: continuously feeding the cellulose blank structure on the first endless belt unit in a first feeding direction, and redirecting the cellulose blank structure to the second endless belt unit; feeding the cellulose blank structure on the second endless belt unit in a second feeding direction being at least partly opposite the first feeding direction, where the second endless belt unit alternatingly is longitudinally moved in opposite directions relative to the first endless belt unit and the third endless belt unit, and redirecting the cellulose blank structure to the third endless belt unit; intermittently feeding the cellulose blank structure on the third endless belt unit in a third feeding direction at least partly coinciding with the first feeding direction."
56,1997015913,An absorbent sheet or web material and a method of producing the material by dry forming,AU,30.10.1997,D21H 27/42,15913/97,Scan-Web I/S,"Schilkowski, Helmut Erwin","An inexpensive sheet or web shaped fibre material for use e.g. in sanitary napkins typically consists of a mixture of short cellulose fibres and some 15 % of relatively long, thermoplastic binder fibres. It is a noticeable problem that the short fibres 'dust' out of the material, and according to the invention this is remedied in that the material, when made by dry forming, is provided with a surface coating of very thin layers of pure binder fibres. In addition to a marked holding back of the dust, these layers condition that the amount of binder fibres in the base material can be halved and that the breaking stress of the material is noticeably improved. Thereby the products are usable not only as inserts, but also as individual, self-contained units e.g. for wiping in domestic or industrial cleaning."
57,6407309,Absorbent sheet or web material and a method of producing the material by dry forming,US,18.06.2002,A61F 15/13,09125143,Scan-Web I/S,"Schilkowski, Helmut Erwin","An inexpensive sheet or web shaped fibre material for use e.g., in sanitary napkins typically consists of a mixture of short cellulose fibres and some 15% of relatively long, thermoplastic binder fibers. It is a noticeable problem that the short fibres “dust” out of the material, and according to the invention this is remedied in that the material, when made by dry forming, is provided with a surface coating of very thin layers of pure binder fibres. In addition to a marked holding back of the dust, these layers condition that the amount of binder fibres in the base material can be halved and that the breaking stress of the material is noticeably improved. Thereby the products are usable not only as inserts, but also as individual, self-contained units e.g., for wiping in domestic or industrial cleaning."
58,1208718,Reconstituted tobacco dry-forming process,IT,10.07.1989,A24B 20060101S,4853985,KIMBERLY CLARK CO,AUGUST SELKE WILLIAM,"Fiberised tobacco stems and scrap are combined with tobacco material of a fine particle size. The resulting mixt. is conveyed in an airstream and deposited on a moving foraminous surface. An adhesive is incorporated into or applied to the web bonding, the particles into a coherent sheet, and the sheet is dried if necessary. The dried sheet may be divided into leaflets or shredded for further processing as reconstituted tobacco. Cellulose fibres may be mixed with the tobacco particles prior to web formation to impart increased sheet strength. Tobacco fines may be mixed with the adhesive."
59,8800014,Reconstituted tobacco dry-forming process,ES,01.11.1987,A24B 3/12,54879385,KIMBERLY CLARK CO,,"The fiberized stems (stalks) of tobacco and residues are combined with tobacco of the size of fine particles. The resulting mixture is conveyed in a stream of air and deposited on a perforated moving surface. An adhesive is incorporated which brings together the particles of tobacco into a coherent sheet which is dried if necessary. The dried sheet may be divided into small leaves or cut up in order to continue the process. Preferably, cellulose fibres are mixed with the particles of tobacco before the formation of the sheet. It is also possible to mix tobacco fines with the adhesive, this being applied to the sheet. Figure 2."
60,101619521,Nonwoven fibrous multiply fabric and method and plant for producing the fabric,CN,06.01.2010,D04H 13/00,200910149582.9,欧瑞康纺织有限及两合公司,延斯·奥勒·布勒克纳·安德森,"A nonwoven fibrous multiply fabric comprises a first ply of a mixture of cellulose fibres and synthetic fibres, a second ply of a mixture of cellulose fibres and super absorbent powder, and a third ply of cellulose fibres only. A method for producing the fabric is carried out by means of a plant comprising an endless wire mesh screen, a first dry-forming stage for forming the first ply on the endless wire mesh screen, a first pair of rollers for compacting the first ply, a second dry-forming stage for forming the second ply on top of the first ply, a second pair of rollers to form a coherent web by compacting the plies between the said rollers, a latex applying stage for applying latex to the web, a heating stage for heating the web, a moistening stage for moistening the web, a third pair of rollers for embossing the web on the side with the third ply, and a cooling stage for cooling the web. A nonwoven fibrous multiply fabric having an excellent strength, absorbency and durability can be performed to a low price by means of the simple and effectively functioning method and plant."
61,2140844,Nonwoven fibrous multiply fabric and method and plant for producing the fabric,EP,06.01.2010,A61F 13/15,09164509,OERLIKON TEXTILE GMBH & CO KG,ANDERSEN JENS OLE BROECHNER,"A nonwoven fibrous multiply fabric comprises a first ply (2) of a mixture of cellulose fibres (6) and synthetic fibres (7), a second ply (3) of a mixture of cellulose fibres (6) and super absorbent powder (8), and a third ply (4) of cellulose fibres (6) only. A method for producing the fabric is carried out by means of a plant comprising an endless wire mesh screen, a first dry-forming stage (11) for forming the first ply (2) on the endless wire mesh screen, a first pair of rollers (14) for compacting the first ply (2), a second dry-forming stage for forming the second ply (3) on top of the first ply (2), a second pair of rollers (15) to form a coherent web (2,3,4) by compacting the plies (2,3,4) between the said rollers (15), a latex applying stage (16) for applying latex (5) to the web (2,3,4), a heating stage (17) for heating the web (2,3,4), a moistening stage (18) for moistening the web (2,3,4), a third pair of rollers (19) for embossing the web (2,3,4) on the side with the third ply (4), and a cooling stage (22) for cooling the web (2,3,4). A nonwoven fibrous multiply fabric having an excellent strength, absorbency and durability can be performed to a low price by means of the simple and effectively functioning method and plant."
62,2140844,Non-woven flerlaget fiberdug og fremgangsmåde og anlæg til fremstilling af dugen,DK,05.11.2012,A61F 13/15,09164509,Oerlikon Textile GmbH & Co. KG,"Andersen, Jens Ole Bröchner","A nonwoven fibrous multiply fabric comprises a first ply (2) of a mixture of cellulose fibres (6) and synthetic fibres (7), a second ply (3) of a mixture of cellulose fibres (6) and super absorbent powder (8), and a third ply (4) of cellulose fibres (6) only. A method for producing the fabric is carried out by means of a plant comprising an endless wire mesh screen, a first dry-forming stage (11) for forming the first ply (2) on the endless wire mesh screen, a first pair of rollers (14) for compacting the first ply (2), a second dry-forming stage for forming the second ply (3) on top of the first ply (2), a second pair of rollers (15) to form a coherent web (2,3,4) by compacting the plies (2,3,4) between the said rollers (15), a latex applying stage (16) for applying latex (5) to the web (2,3,4), a heating stage (17) for heating the web (2,3,4), a moistening stage (18) for moistening the web (2,3,4), a third pair of rollers (19) for embossing the web (2,3,4) on the side with the third ply (4), and a cooling stage (22) for cooling the web (2,3,4). A nonwoven fibrous multiply fabric having an excellent strength, absorbency and durability can be performed to a low price by means of the simple and effectively functioning method and plant."
63,2671106,NONWOVEN FIBROUS MULTIPLY FABRIC AND METHOD AND PLANT FOR PRODUCING THE FABRIC,CA,04.01.2010,B32B 5/26,2671106,OERLIKON TEXTILE GMBH & CO. KG,,"A nonwoven fibrous multiply fabric comprises a first ply (2) of a mixture of cellulose fibres (6) and synthetic fibres (7), a second ply (3) of a mixture of cellulose fibres (6) and super absorbent powder (8), and a third ply (4) of cellulose fibres (6) only. A method for producing the fabric is carried out by means of a plant comprising an endless wire mesh screen, a first dry-forming stage (11) for forming the first ply (2) on the endless wire mesh screen, a first pair of rollers (14) for compacting the first ply (2), a second dry-formingstage for forming the second ply (3) on top of the first ply (2), a second pair of rollers (15) to form a coherent web (2,3,4) by compacting the plies (2,3,4) between the said rollers (15), a latex applying stage (16) for applying latex (5) to the web (2,3,4), a heating stage (17) for heating the web (2,3,4), a moistening stage (18) for moistening the web (2,3,4), a third pair of rollers (19) for embossing the web (2, 3, 4) on the side with the third ply (4), and a cooling stage (22) for cooling the web (2,3,4). A nonwoven fibrous multiply fabric having an excellent strength, absorbency and durability can be performed to a low price by means of the simple and effectively functioning method and plant."
64,00622883,NOZZLE FOR OBTAINING CHEMICAL FIBRE FROM CELLULOSE ESTERS BY DRY FORMING,SU,05.09.1978,D01D 3/00,2333914,VSESOYUZNYJ NAUCHNO-ISSLEDOVATELSKIJ I EKSPERIMENTALNYJ INSTITUT PO PERERABOTKE KHIMICHESKOGO VOLOKNA,VASILEV YURIJ VSEVOLODOVICH,
65,0264676,"Process for the manufacture of multi-ply absorbent paper sheets, and composite paper sheet products thus obtained.",EP,27.04.1988,B31F 1/07,87114266,MIRA LANZA SPA,NISTRI UGO,"Three layers of cellulose material unwound from three respective rolls (1, 2, 3) are associated firmly with each other in a continuous process, and the composite sheet (15) thus obtained is wound up again. Each layer has complementary characteristics whereby the final product (15) thus obtained can afford specific usages other than those of the individual layers. More particularly, the two outer layers have a surface-finish granting smoothness and softness to the final product (15), while the inner layer has characteristics of resiliency, mechanical strength, high liquid-absorbency and pre-established elasticity or compressibility performances. For manufacturing the composite product (15), use can be made of cellulose layers of different origins and types, such as paper manufactured by the conventional wet process or paper manufactured by any dry-forming process, or a combination of types of paper produced by different processes. One or more layers may be submitted to any mechanical treatment (7, 8, 9) prior to said association in order to enhance the formation of pervious cells within the final composite sheet (15), whereby to create a ""sponge-like"" absorbing effect."
66,117203044,Toggle pressing module for cellulose products and use method of toggle pressing module,CN,08.12.2023,B30B 11/00,202280028110.1,PUPAC AB,LARSSON OVE,"A product forming unit (U) for producing non-flat cellulosic products (1) from an air-formed cellulosic blank structure (2). The product forming unit (U) comprises a blank dry forming module (4) with a movable forming wire (4c), a toggle pressing module (6) with a toggle press (6a) and a forming die (3), and an electronic control system (6h) operably connected to the forming wire (4c) and the toggle press (6a). The blank dry forming module (4) is configured for air forming a cellulosic blank structure (2) onto a forming wire (4c). The toggle presser (6a) includes a pressing member (6d) movably arranged in a pressing direction, a toggle mechanism (6e) drivingly connected to the pressing member (6d), and a pressing actuator assembly (6f) drivingly connected to the toggle mechanism (6e). The forming die (3) comprises a first movable die part (3a) and a second movable die part (3b) attached to a pressing member (6d). The electronic control system (6h) is configured for controlling the operation of the press actuator assembly (6f) to perform a press operation comprising driving the press member (6d) in a press direction by means of the toggle mechanism (6e) to form the non-flat cellulosic product from the air-formed cellulosic blank structure by pressing the first mold portion (3a) against the second mold portion (3b). The electronic control system (6h) is further configured for intermittently feeding the shaped wire (4c) between subsequent pressing operations."
67,01043193,DIES FOR MAKING PROFILED CHEMICAL YARN FROM CELLULOSE ACETATE BY DRY FORMING,SU,23.09.1983,D01D 4/02,3372224,VSESOYUZNYJ NAUCHNO-ISSLEDOVATELSKIJ I EKSPERIMENTALNYJ INSTITUT PO PERERABOTKE KHIMICHESKIKH VOLOKON,ISAEVA ELENA ALEKSANDROVNA,"ФИЛЬЕРА ДЛЯ ПОЛУЧЕНИЯ ПРОФИЛИРОВАННЫХ ХИМИЧЕСКИХ НИТЕЙ ИЗ  АЦЕТАТОВ ЦЕЛЛЮЛОЗЫ СУХИМ ФОРМОВАНИЕМ,  имеющая прядильные профилированные. отверстия с поперечным сечением в  форме равностороннего треугольника,  расположенные на радиусе по окружности, отличающаяся тем,  yjTo, с целью повышения качества ни-.  тей, каждое прядильное отверстие  дополнительно имеет отходящий от  середины одной из сторон треугольника щелевой отросток длиной О,4 стороны треугольника, шириной 0,3 стороны треугольника при радиусе скругления углов 0,8 - 0,12 стороны треугольника, при этом щелевые отрост,ки прядильных отверстий направлены  к центру фильеры. (Л NU СО со со"
68,1399300,CORRUGATED PAPER BOARD,GB,02.07.1975,B31F 1/20,5285673,DOMTAR LTD,,"1399300 Laminates DOMTAR Ltd 14 Nov 1973 52856/73 Heading B5N [Also in Division D1] A laminate includes a layer of corrugated paper board made by dry forming a web of fibres, e.g. cellulose fibres, pressing the web to effect consolidation thereof, and corrugating the web. Consolidation and corrugation may be simultaneous or the web may be first consolidated and then corrugated. In Fig. 2, the web 1 is fed by a belt conveyer 2 from a dry former 50c to heated corrugating and consolidating rolls 11c, 12c having longitudinal grooves 6 and crests 7. Glue is applied to the corrugated web by a roller 10c and a liner is applied by a roller 18c. A second liner may be applied subsequently to the exposed flutes of the corrugated web."
69,2246323,DRY-FORMED ABSORBENT WEB MATERIAL,CA,21.08.1997,D21H 27/42,2246323,SCAN-WEB I/S,"SCHILKOWSKI, HELMUT ERWIN","An inexpensive sheet or web shaped fibre material for use e.g. in sanitary  napkins typically consists of a mixture of short cellulose  fibres and some 15 % of relatively long, thermoplastic binder fibres. It is a  noticeable problem that the short fibres ""dust"" out of the material,  and according to the invention this is remedied in that the material, when  made by dry forming, is provided with a surface coating of very  thin layers of pure binder fibres. In addition to a marked holding back of the  dust, these layers condition that the amount of binder fibres  in the base material can be halved and that the breaking stress of the  material is noticeably improved. Thereby the products are usable not  only as inserts, but also as individual, self-contained units e.g. for wiping  in domestic or industrial cleaning."
70,2022259460,METHOD FOR DRY-FORMING CELLULOSE PRODUCTS FROM A CELLULOSE BLANK STRUCTURE IN A PRODUCT FORMING UNIT AND A PRODUCT FORMING UNIT,AU,20.10.2022,B30B 1/10,2022259460,PULPAC AB,"ARLEROT, Björn",
71,1424973,CONSOLIDATION OF DRY FORMED WEBS,GB,11.02.1976,D04H 1/64,1585174,DOMTAR LTD,,"1424973 Non-woven fabric DOMTAR Ltd 10 April 1974 [16 April 1973] 15851/74 Heading D1R A continuous process for making a consolidated sheet comprises dry forming a web from fibres, prebonding the web to impart sufficient strength to the web to enable it to be pressed but without significantly impairing penetrability thereof by a binder, applying said binder to the prebonded web, pressing to distribute the binder substantially uniformly throughout said web and drying said web (if the binder is applied in a liquid medium). The prebonding may comprise calendering at 500 to 3000 lbs/linear inch using smooth rollers at 100‹C or less, preferably at room temperature, a preliminary application of part of the binder by spraying or by spraying with binder followed by calendering. A 2 to 20% by wt. aqueous solution of starch, animal glue or carboxymethyl cellulose is applied to the prebonded web by passing it down through the nip formed by the two rolls of a size press as binder solution is fed to the nip. In one embodiment a starch size is combined with the starch binder. The web takes up approximately its own weight of binder solution. The fibres may be chemically liberated wood fibres, groundwood and bleached softwood kraft fibres being exemplified. Before prebonding the web may have a moisture content of 4 to 25% by weight."
72,1313347,METHOD OF MANUFACTURING A BALLOON CATHETER,GB,11.04.1973,A61M 25/00,1313347D,DAVOL INC,,"1313347 Method of making balloon catheters DAVOL Inc 2 July 1970 32209/70 Heading A5R A method of manufacturing a balloon-type catheter comprises the steps of forming a catheter shaft 10, preferably of plastics material, having a drainage lumen 14 and an inflation lumen 16 and an eye 20 formed through the wall of the shaft to communicate with the inflation lumen, placing a gel coating (22), Fig. 2 (not shown) around the shaft 10 in the neighbourhood of the said eye 20, overdipping the said coating and adjacent parts of the shaft 10 in a solution of solid material dissolved in a liquid which is a non-solvent for said gel, and allowing this second coating to dry forming a skin 24, and decomposing the gel layer by drying, but at an elevated temperature. The gel consists of a gelling agent selected from the group consisting of: a water soluble resin, methyl cellulose, colloidal alumina and aluminium stearate and the solvent, or dispersion agent for the gel from the group: water, toluene, an alcohol and methylene chloride. In order that the gel has a suitable viscosity, it is stated that the pH of the solution should be about 7 and to this end,. an alkali is either incorporated in the solution itself or in the overdipping solution."
73,1494059,METHOD OF MANUFACTURING A DRY-FORMED ADHESIVELY BONDED NON-WOVEN FIBROUS SHEET AND THE SHEET FORMED THEREBY,GB,07.12.1977,A61L 15/42,710976,SCOTT PAPER CO,,"1494059 Non - woven fabric SCOTT PAPER CO 23 Feb 1976 [13 March 1975] 07109/76 Heading D1R A method of forming a bulky, flexible, stretchable nonwoven fibrous sheet comprises dry-forming a low integrity fibrous web having a basis wt. of 5 to 100 lbs/2880 sq. ft., bonding the fibres with a brittle, temporary binder to allow subsequent processing, applying a permanent binder to one or both surfaces of the temporarily bonded web (in a solids wt. per cent of 5 to 30, based on the dry wt. of the temporarily bonded web) in a pattern covering 5 to 60% of the area of the said surface(s) and extending at least 10% through the thickness of the web; adhering to a creping surface 48 the areas of the web to which the permanent binder has been applied; creping the web and thereby breaking the bonds formed by the brittle temporary binder to cause the non permanently bonded areas 62 to bulk. As shown the web is formed from three corded layers of fibres of length  inch to 3 inch, selected from cotton, rayon, polyolefin, polyester, cellulose acetate, acrylic or polyamide. Garnetts may replace the cording machines 10. Alternatively wood pulp or cotton linter fibre of less than  inch length may be air laid, optionally mixed with textile length fibres.  The temporary binder is preferably starch. Alternatively dextrin, animal glue, gum, casein, carboxymethyl cellulose, urea-formaldehyde resin, polyacrylate, polyamide, polyvinyl alcohol or a polyvinyl alcohol/polyvinyl acetate copolymer may be used. It may be sprayed, padded or coated onto one or both web surfaces, or mixed in powder form with the fibresduring web formation and activated with moisture. As shown an aqueous dispersion of starch is applied by lower roll 22 of a bonding nip and the water is removed by dryer cans 32.  The permanent binder is an emulsion or dispersion of polymers or copolymers of ethylene, vinyl acetate, acrylate, styrene, butadiene, vinyl chloride or vinylidene chloride. A latex dispersion of ethylene/vinyl acetate copolymer is preferred. It is applied by gravure roll 38. Creping drum 48 rotates at a circumferential speed of 105 to 150% of the take-up roll. Both sides of the web can be printed with permanent binder and then creped. The web is heated by cans 56 to remove moisture and cure the binder if a curable binder is used."
